Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
1191	0.450375	2.86694E+17
1192	0.46625	2.86974E+17
1193	0.45725	2.87248E+17
1194	0.463375	2.87527E+17
1195	0.44675	2.87795E+17
1196	0.43775	2.88058E+17
1197	0.464875	2.88338E+17
1198	0.42975	2.88597E+17
1199	0.383	2.88828E+17
1200	0.43525	2.8896E+17
